epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,183.462,0.53873,0.36552,0.86662,0.98467,0.99148,0.99454,0.89535,0.49198,0.30279,0.80825,0.000495291,0.000495291,0.000495291
68,186.091,0.56682,0.3721,0.87247,0.98512,0.99144,0.99453,0.89712,0.48423,0.29603,0.80768,0.000481144,0.000481144,0.000481144
69,188.731,0.54242,0.37466,0.86602,0.98512,0.99144,0.99453,0.89712,0.48423,0.29603,0.80768,0.000466997,0.000466997,0.000466997
70,191.314,0.53161,0.35633,0.86991,0.98585,0.99154,0.99451,0.90219,0.47258,0.29388,0.80522,0.00045285,0.00045285,0.00045285
71,194.207,0.54652,0.35976,0.85136,0.98598,0.9931,0.99437,0.90474,0.47527,0.29736,0.80678,0.000438703,0.000438703,0.000438703
72,197.142,0.53103,0.36969,0.88192,0.98598,0.9931,0.99437,0.90474,0.47527,0.29736,0.80678,0.000424556,0.000424556,0.000424556
73,200.075,0.52462,0.34571,0.87188,0.97901,0.99599,0.99376,0.90093,0.48687,0.29847,0.80744,0.000410409,0.000410409,0.000410409
74,202.825,0.50875,0.3663,0.85162,0.97177,0.997,0.99339,0.89726,0.48622,0.29985,0.80699,0.000396262,0.000396262,0.000396262
75,205.533,0.49789,0.3435,0.85529,0.97177,0.997,0.99339,0.89726,0.48622,0.29985,0.80699,0.000382115,0.000382115,0.000382115
76,208.239,0.51344,0.36029,0.86313,0.97116,0.99279,0.99333,0.9025,0.46996,0.29863,0.80194,0.000367967,0.000367967,0.000367967
77,211,0.48258,0.35248,0.86221,0.9735,0.98688,0.99359,0.90522,0.46377,0.2983,0.80158,0.00035382,0.00035382,0.00035382
78,213.902,0.50665,0.3308,0.85476,0.9735,0.98688,0.99359,0.90522,0.46377,0.2983,0.80158,0.000339673,0.000339673,0.000339673
79,216.816,0.50804,0.34231,0.87047,0.98033,0.97611,0.99406,0.90618,0.46387,0.29535,0.80174,0.000325526,0.000325526,0.000325526
80,219.743,0.49497,0.33252,0.85201,0.98149,0.9804,0.99425,0.91055,0.46056,0.28631,0.79908,0.000311379,0.000311379,0.000311379
81,222.632,0.526,0.35849,0.87316,0.98149,0.9804,0.99425,0.91055,0.46056,0.28631,0.79908,0.000297232,0.000297232,0.000297232
82,225.523,0.52009,0.35716,0.86702,0.98974,0.99062,0.99453,0.91796,0.45033,0.27912,0.79666,0.000283085,0.000283085,0.000283085
83,228.492,0.47878,0.34905,0.84675,0.98776,0.98863,0.9947,0.91864,0.43783,0.27067,0.79381,0.000268938,0.000268938,0.000268938
84,231.423,0.50614,0.34195,0.86366,0.98776,0.98863,0.9947,0.91864,0.43783,0.27067,0.79381,0.000254791,0.000254791,0.000254791
85,234.332,0.49251,0.33454,0.85262,0.9862,0.98871,0.99479,0.9214,0.43466,0.27012,0.79395,0.000240644,0.000240644,0.000240644
86,237.251,0.46625,0.31797,0.85814,0.98588,0.99029,0.99469,0.91496,0.44751,0.27262,0.79737,0.000226497,0.000226497,0.000226497
87,240.001,0.47655,0.32662,0.86333,0.98588,0.99029,0.99469,0.91496,0.44751,0.27262,0.79737,0.000212349,0.000212349,0.000212349
88,242.744,0.4796,0.32195,0.85089,0.9875,0.9933,0.99468,0.91791,0.44156,0.26923,0.79552,0.000198202,0.000198202,0.000198202
89,245.468,0.49287,0.34107,0.8518,0.98971,0.9937,0.99466,0.91874,0.4276,0.25908,0.79223,0.000184055,0.000184055,0.000184055
90,248.262,0.48015,0.32168,0.85725,0.98971,0.9937,0.99466,0.91874,0.4276,0.25908,0.79223,0.000169908,0.000169908,0.000169908
91,251.299,0.48416,0.3205,0.83195,0.98994,0.99449,0.99473,0.92213,0.41989,0.25805,0.79015,0.000155761,0.000155761,0.000155761
92,254.201,0.473,0.30711,0.84858,0.99211,0.99356,0.99469,0.92106,0.42031,0.26102,0.79036,0.000141614,0.000141614,0.000141614
93,256.821,0.45978,0.29732,0.83151,0.99211,0.99356,0.99469,0.92106,0.42031,0.26102,0.79036,0.000127467,0.000127467,0.000127467
94,259.473,0.46441,0.29946,0.83664,0.99234,0.99384,0.99462,0.91966,0.42956,0.26495,0.79193,0.00011332,0.00011332,0.00011332
95,262.249,0.47087,0.30713,0.82882,0.99327,0.99542,0.9946,0.91647,0.44012,0.26983,0.79397,9.91726e-05,9.91726e-05,9.91726e-05
96,264.875,0.43925,0.28228,0.83163,0.99327,0.99542,0.9946,0.91647,0.44012,0.26983,0.79397,8.50255e-05,8.50255e-05,8.50255e-05
97,267.491,0.4472,0.29482,0.82856,0.99331,0.99542,0.99462,0.91447,0.44218,0.26939,0.79408,7.08784e-05,7.08784e-05,7.08784e-05
98,270.155,0.44894,0.28197,0.82155,0.99385,0.99542,0.99465,0.91612,0.43618,0.26614,0.79239,5.67313e-05,5.67313e-05,5.67313e-05
99,272.744,0.43127,0.28473,0.80732,0.99385,0.99542,0.99465,0.91612,0.43618,0.26614,0.79239,4.25842e-05,4.25842e-05,4.25842e-05
100,275.408,0.43442,0.28498,0.81451,0.9938,0.99542,0.99468,0.9192,0.42994,0.26426,0.79113,2.84371e-05,2.84371e-05,2.84371e-05
